EV_ID,Arrival_Time,Departure_Time,Initial_SOC,Target_SOC,Battery_Capacity_kWh,Electricity_Price_per_kWh
EV001,07:42,12:23,29,90,60,7.19
EV002,13:15,18:36,57,77,60,7.84
EV003,20:20,23:30,43,94,50,10.01
EV004,10:30,16:17,50,78,75,8.06
EV005,07:46,09:59,27,93,80,6.14
EV006,07:11,10:45,46,100,40,6.87
EV007,17:40,20:27,21,77,65,9.11
EV008,06:20,08:34,65,93,90,6.7
EV009,16:14,21:33,36,94,100,7.31
EV010,08:01,13:26,42,81,40,6.43
EV011,13:46,19:20,16,94,75,7.39
EV012,09:34,14:43,56,83,65,7.55
EV013,11:30,14:09,59,75,75,7.56
EV014,13:38,19:10,67,82,100,7.73
EV015,07:27,12:54,20,81,60,6.54
EV016,12:12,18:08,42,92,65,6.69
EV017,07:39,11:00,42,82,60,6.78
EV018,20:31,23:30,58,75,100,11.31
EV019,17:03,19:55,58,85,40,9.65
EV020,08:10,10:33,34,99,100,6.93
EV021,17:01,21:34,44,99,40,9.26
EV022,11:08,16:44,25,92,65,7.58
EV023,18:49,23:30,69,97,65,10.59
EV024,11:43,15:46,42,84,80,8.31
EV025,14:11,20:07,39,77,75,7.46
EV026,12:53,15:33,53,81,80,7.59
EV027,19:25,23:30,47,90,75,11.93
EV028,12:25,14:39,15,100,80,7.27
EV029,09:11,11:55,41,90,60,7.98
EV030,21:55,23:30,66,99,65,6.8
EV031,10:36,14:04,27,94,40,7.91
EV032,08:40,11:50,55,91,75,6.66
EV033,13:39,15:47,17,76,100,6.62
EV034,11:13,14:40,53,75,75,7.54
EV035,06:21,10:29,20,90,40,7.44
EV036,10:12,16:07,22,86,80,8.75
EV037,18:27,22:42,41,79,75,11.09
EV038,20:16,23:30,23,79,90,10.23
EV039,15:20,18:22,51,97,60,6.76
EV040,13:54,18:12,47,83,65,6.73
EV041,06:58,10:18,65,83,40,6.38
EV042,14:30,18:45,56,77,65,7.32
EV043,17:21,22:03,58,93,90,11.14
EV044,13:55,18:37,38,90,75,7.49
EV045,17:39,20:11,29,90,75,9.84
EV046,19:02,23:04,68,83,100,11.86
EV047,09:09,11:13,46,94,90,8.61
EV048,21:57,23:30,46,98,40,6.55
EV049,17:26,23:16,38,96,100,10.84
EV050,21:57,23:30,55,98,60,6.42
EV051,15:22,17:49,66,81,100,6.87
EV052,20:35,23:30,63,98,50,10.07
EV053,15:26,20:46,63,94,40,7.64
EV054,10:03,13:14,66,85,50,7.52
EV055,19:51,22:02,26,91,90,9.35
EV056,14:24,19:05,53,82,80,6.57
EV057,08:10,10:42,16,78,50,6.06
EV058,14:04,16:51,17,80,60,7.78
EV059,19:38,23:30,63,82,100,11.11
EV060,16:46,19:47,51,94,80,7.21
EV061,06:20,11:55,63,78,100,6.15
EV062,20:00,22:36,70,90,50,10.47
EV063,08:46,12:24,31,99,100,6.71
EV064,10:33,15:24,63,78,90,7.76
EV065,12:27,16:10,16,99,80,7.15
EV066,16:00,21:33,16,92,90,7.1
EV067,11:15,16:53,42,88,50,8.42
EV068,06:13,08:47,68,92,90,6.95
EV069,10:01,15:13,37,76,60,7.57
EV070,18:56,23:30,51,96,50,10.12
EV071,11:45,15:25,46,77,50,8.44
EV072,15:24,20:18,47,90,50,7.25
EV073,20:57,23:30,15,83,40,11.57
EV074,11:39,15:49,33,78,100,8.49
EV075,07:31,09:31,16,75,40,6.24
EV076,12:06,14:10,67,82,40,6.61
EV077,21:55,23:30,58,75,60,6.64
EV078,13:34,17:55,40,88,80,6.54
EV079,13:07,16:49,46,95,100,7.38
EV080,14:28,16:54,20,90,90,7.91
EV081,18:55,23:11,46,94,75,10.73
EV082,21:42,23:30,69,98,50,6.39
EV083,06:34,08:48,18,82,90,6.96
EV084,09:25,12:54,69,84,50,8.19
EV085,07:20,10:01,25,77,60,6.82
EV086,21:31,23:30,70,91,50,6.94
EV087,15:21,20:45,31,75,40,7.08
EV088,20:31,23:30,52,90,100,11.88
EV089,12:27,15:29,38,86,75,7.86
EV090,06:01,09:36,19,93,65,6.29
EV091,12:29,18:19,66,96,50,6.6
EV092,15:25,21:25,48,97,90,6.65
EV093,07:45,10:36,20,96,40,6.03
EV094,18:51,22:26,36,88,65,9.28
EV095,19:41,23:30,25,80,75,11.05
EV096,13:56,19:37,62,80,65,6.61
EV097,17:42,23:30,30,87,40,9.96
EV098,12:41,17:11,47,93,100,7.77
EV099,18:09,23:30,23,96,100,9.07
EV100,15:15,21:11,20,82,80,7.72
